name,nickname
Garett Whiteley,Goodnight_1_2.33
Maciej Jewtuszko,Irokez
Cyril Asker,Silverback
Jumabieke Tuerxun,The Wild Wolf
Roosevelt Roberts,The Predator
Maurice Smith,Maurice
Bryan Baker,The Beast_1_3.60
Glover Teixeira,Glover
Matheus Nicolau,Matheus
James Krause,The
Roger Narvaez,Silverback_1_2.67
Umar Nurmagomedov,Umar
Irina Alekseeva,Russian Ronda
Chris Spang,The Kiss
Tony Ferguson,El Cucuy
Carmelo Marrero,The Fury
Roger Bowling,Relentless
Ildemar Alcantara,Marajo
Chase Beebe,Chase_1_1.85
Ricardo Lamas,The Bully_1_2.50
Marlon Vera,Chito
Alex Karalexis,The Assassin
Curt Warburton,Curt
Matt Frevola,The SteamRolla
Blake Bilder,El Animal
Tonya Evinger,Triple Threat
Mike Wilkinson,The Warrior_1_2.25
Diego Rivas,Pitbull
Mark Hominick,The Machine
Rick Story,The Horror
Garreth McLellan,Soldier Boy
Dave Jansen,Dave
Mariya Agapova,Demonslayer
Alex Huddleston,The Shaved Gorilla
Tim Hague,The Trashing Machine
Masanori Kanehara,Masanori
Tatiana Suarez,Tatiana
Luigi Fioravanti,Luigi
Carlos Newton,The Ronin
Danilo Marques,Danilo
Renzo Gracie,Renzo
Stephanie Egger,Stephanie
Austin Springer,Austin
Iuri Alcantara,Marajo_1_3.50
Da'Mon Blackshear,The Monster
Spencer Fisher,The King
Kurt Pellegrino,Batman
Trey Ogden,Samurai Ghost
Anderson Silva,The Spider
Carlston Harris,Mocambique
Jorge Santiago,The Sandman_2_2.08
Gleison Tibau,Gleison
Josh Shockley,Josh_4_2.75
Mark Coleman,The Hammer_3_1.60
Sarah Moras,Cheesecake
Jimmy Ambriz,The Titan
Chris Cariaso,Kamikaze
Rogerio Nogueira,Minotouro
Russell Doane,Russell
Rony Jason,Rony
Maki Pitolo,Coconut Bombz
Joanderson Brito,Tubarao
Zhang Lipeng,The Warrior_2_2.56
Francisco Prado,Francisco
Amanda Lemos,Amanda
